year,event_time,post,occ_code,occ_title,tot_emp,a_mean,h_mean,wage_bill,log_wage,log_emp,log_wbill,annual_only,suppressed_wage,soc_remapped,balanced,dv_alpha,dv_beta,dv_gamma,human_alpha,human_beta,human_gamma,n_onet,prefix5,exposure_imputed,exposure_residual
2024,2,1,19-1099,"Life Scientists, All Other",7320.0,101940.0,49.01,746200800.0,11.532139683894032,8.898365606955357,20.43050529084939,0,False,0,1,0.08499081907998404,0.45369354145990665,0.8223962638398294,0.29959339140450997,0.5170665370912535,0.7345396827779971,11.0,,1,1
2019,-3,0,19-2011,Astronomers,2070.0,122270.0,58.79,253098900.0,11.713986993138237,7.635303886259415,19.34929087939765,0,False,0,1,0.0625,0.4375,0.8125,0.25,0.421875,0.59375,1.0,19-20,0,0
2020,-2,0,19-2011,Astronomers,1910.0,126250.0,60.7,241137500.0,11.746019347137606,7.554858521040676,19.300877868178283,0,False,0,1,0.0625,0.4375,0.8125,0.25,0.421875,0.59375,1.0,19-20,0,0
2021,-1,0,19-2011,Astronomers,1930.0,139410.0,67.02,269061300.0,11.845174510747134,7.5652752818989315,19.410449792646062,0,False,0,1,0.0625,0.4375,0.8125,0.25,0.421875,0.59375,1.0,19-20,0,0
2022,0,0,19-2011,Astronomers,2160.0,127460.0,61.28,275313600.0,11.755557868868284,7.67786350067821,19.433421369546497,0,False,0,1,0.0625,0.4375,0.8125,0.25,0.421875,0.59375,1.0,19-20,0,0
2023,1,1,19-2011,Astronomers,2080.0,128940.0,61.99,268195200.0,11.767102458864612,7.640123172695364,19.407225631559974,0,False,0,1,0.0625,0.4375,0.8125,0.25,0.421875,0.59375,1.0,19-20,0,0
2024,2,1,19-2011,Astronomers,1560.0,134430.0,64.63,209710800.0,11.808798896448298,7.352441100243583,19.16123999669188,0,False,0,1,0.0625,0.4375,0.8125,0.25,0.421875,0.59375,1.0,19-20,0,0
2019,-3,0,19-2012,Physicists,16730.0,131080.0,63.02,2192968400.0,11.783563102812751,9.72495879398087,21.50852189679362,0,False,0,1,0.5454545454545454,0.75,0.9545454545454546,0.5,0.6363636363636364,0.7727272727272727,1.0,19-20,0,0
2020,-2,0,19-2012,Physicists,16160.0,137700.0,66.2,2225232000.0,11.832832684716749,9.690294332075087,21.523127016791832,0,False,0,1,0.5454545454545454,0.75,0.9545454545454546,0.5,0.6363636363636364,0.7727272727272727,1.0,19-20,0,0
2021,-1,0,19-2012,Physicists,20020.0,151580.0,72.88,3034631600.0,11.92886881736602,9.90448705286921,21.83335587023523,0,False,0,1,0.5454545454545454,0.75,0.9545454545454546,0.5,0.6363636363636364,0.7727272727272727,1.0,19-20,0,0
2022,0,0,19-2012,Physicists,18840.0,150130.0,72.18,2828449200.0,11.91925686440635,9.843737548130354,21.762994412536703,0,False,0,1,0.5454545454545454,0.75,0.9545454545454546,0.5,0.6363636363636364,0.7727272727272727,1.0,19-20,0,0
2023,1,1,19-2012,Physicists,18350.0,158270.0,76.09,2904254500.0,11.97205771432733,9.817384853482716,21.789442567810045,0,False,0,1,0.5454545454545454,0.75,0.9545454545454546,0.5,0.6363636363636364,0.7727272727272727,1.0,19-20,0,0
2024,2,1,19-2012,Physicists,21340.0,166000.0,79.81,3542440000.0,12.01974306733868,9.968338524855744,21.988081592194423,0,False,0,1,0.5454545454545454,0.75,0.9545454545454546,0.5,0.6363636363636364,0.7727272727272727,1.0,19-20,0,0
2019,-3,0,19-2021,Atmospheric and Space Scientists,9290.0,97160.0,46.71,902616400.0,11.48411438311611,9.136693831807884,20.620808214923994,0,False,0,1,0.1739130434782608,0.5652173913043478,0.9565217391304348,0.3478260869565217,0.6086956521739131,0.8695652173913043,1.0,19-20,0,0
2020,-2,0,19-2021,Atmospheric and Space Scientists,10210.0,100550.0,48.34,1026615500.0,11.518410395200798,9.231122911158712,20.74953330635951,0,False,0,1,0.1739130434782608,0.5652173913043478,0.9565217391304348,0.3478260869565217,0.6086956521739131,0.8695652173913043,1.0,19-20,0,0
2021,-1,0,19-2021,Atmospheric and Space Scientists,8520.0,96880.0,46.58,825417600.0,11.481228378226971,9.05017161982336,20.531399998050336,0,False,0,1,0.1739130434782608,0.5652173913043478,0.9565217391304348,0.3478260869565217,0.6086956521739131,0.8695652173913043,1.0,19-20,0,0
2022,0,0,19-2021,Atmospheric and Space Scientists,9900.0,93610.0,45.01,926739000.0,11.446892494365793,9.20029003612268,20.64718253048847,0,False,0,1,0.1739130434782608,0.5652173913043478,0.9565217391304348,0.3478260869565217,0.6086956521739131,0.8695652173913043,1.0,19-20,0,0
2023,1,1,19-2021,Atmospheric and Space Scientists,9310.0,101530.0,48.81,945244300.0,11.528109600295268,9.138844370271112,20.666953970566382,0,False,0,1,0.1739130434782608,0.5652173913043478,0.9565217391304348,0.3478260869565217,0.6086956521739131,0.8695652173913043,1.0,19-20,0,0
2024,2,1,19-2021,Atmospheric and Space Scientists,8780.0,103980.0,49.99,912944400.0,11.551953851937707,9.080231686629162,20.63218553856687,0,False,0,1,0.1739130434782608,0.5652173913043478,0.9565217391304348,0.3478260869565217,0.6086956521739131,0.8695652173913043,1.0,19-20,0,0
2019,-3,0,19-2031,Chemists,83530.0,84150.0,40.46,7029049500.0,11.340356199618952,11.332961127749952,22.673317327368903,0,False,0,1,0.08,0.38,0.68,0.28,0.4,0.52,1.0,19-20,0,0
2020,-2,0,19-2031,Chemists,82940.0,86410.0,41.54,7166845400.0,11.366858688835444,11.325872733800372,22.692731422635816,0,False,0,1,0.08,0.38,0.68,0.28,0.4,0.52,1.0,19-20,0,0
2021,-1,0,19-2031,Chemists,80600.0,89130.0,42.85,7183878000.0,11.397851257124763,11.29725392849472,22.69510518561948,0,False,0,1,0.08,0.38,0.68,0.28,0.4,0.52,1.0,19-20,0,0
2022,0,0,19-2031,Chemists,83940.0,90530.0,43.53,7599088200.0,11.413436566469484,11.33785753688758,22.75129410335707,0,False,0,1,0.08,0.38,0.68,0.28,0.4,0.52,1.0,19-20,0,0
2023,1,1,19-2031,Chemists,83530.0,95560.0,45.94,7982126800.0,11.467509601439746,11.332961127749952,22.800470729189698,0,False,0,1,0.08,0.38,0.68,0.28,0.4,0.52,1.0,19-20,0,0
2024,2,1,19-2031,Chemists,83250.0,95940.0,46.13,7987005000.0,11.471478275056056,11.32960340784269,22.801081682898744,0,False,0,1,0.08,0.38,0.68,0.28,0.4,0.52,1.0,19-20,0,0
2019,-3,0,19-2032,Materials Scientists,6710.0,100430.0,48.28,673885300.0,11.517216246387385,8.811354229965728,20.32857047635311,0,False,0,1,0.1379310344827586,0.4827586206896551,0.8275862068965517,0.4482758620689655,0.5172413793103449,0.5862068965517241,1.0,19-20,0,0
2020,-2,0,19-2032,Materials Scientists,6930.0,104450.0,50.21,723838500.0,11.556463766984711,8.84361509218395,20.400078859168666,0,False,0,1,0.1379310344827586,0.4827586206896551,0.8275862068965517,0.4482758620689655,0.5172413793103449,0.5862068965517241,1.0,19-20,0,0
2021,-1,0,19-2032,Materials Scientists,6690.0,104790.0,50.38,701045100.0,11.559713626468987,8.808369153122275,20.368082779591266,0,False,0,1,0.1379310344827586,0.4827586206896551,0.8275862068965517,0.4482758620689655,0.5172413793103449,0.5862068965517241,1.0,19-20,0,0
2022,0,0,19-2032,Materials Scientists,7620.0,110690.0,53.22,843457800.0,11.61448878037967,8.938531648680692,20.55302042906036,0,False,0,1,0.1379310344827586,0.4827586206896551,0.8275862068965517,0.4482758620689655,0.5172413793103449,0.5862068965517241,1.0,19-20,0,0
2023,1,1,19-2032,Materials Scientists,8810.0,112440.0,54.06,990596400.0,11.630175025020469,9.083642718930223,20.713817743950692,0,False,0,1,0.1379310344827586,0.4827586206896551,0.8275862068965517,0.4482758620689655,0.5172413793103449,0.5862068965517241,1.0,19-20,0,0
2024,2,1,19-2032,Materials Scientists,8330.0,111410.0,53.56,928045300.0,11.620972369053362,9.027618735160887,20.64859110421425,0,False,0,1,0.1379310344827586,0.4827586206896551,0.8275862068965517,0.4482758620689655,0.5172413793103449,0.5862068965517241,1.0,19-20,0,0
2019,-3,0,19-2041,"Environmental Scientists and Specialists, Including Health",84290.0,77940.0,37.47,6569562600.0,11.2636945788927,11.342018512991528,22.60571309188423,0,False,0,1,0.062366671773898874,0.5217162952137376,0.9810659186535764,0.46475199476705126,0.7103039146935072,0.9558558346199629,4.0,19-20,0,0
2020,-2,0,19-2041,"Environmental Scientists and Specialists, Including Health",84610.0,80090.0,38.5,6776414900.0,11.290906281317728,11.345807741918549,22.636714023236273,0,False,0,1,0.062366671773898874,0.5217162952137376,0.9810659186535764,0.46475199476705126,0.7103039146935072,0.9558558346199629,4.0,19-20,0,0
2021,-1,0,19-2041,"Environmental Scientists and Specialists, Including Health",76890.0,81240.0,39.06,6246543600.0,11.30516301569432,11.250131108026226,22.555294123720547,0,False,0,1,0.062366671773898874,0.5217162952137376,0.9810659186535764,0.46475199476705126,0.7103039146935072,0.9558558346199629,4.0,19-20,0,0
2022,0,0,19-2041,"Environmental Scientists and Specialists, Including Health",77270.0,83820.0,40.3,6476771400.0,11.336426921479063,11.255061060927629,22.591487982406697,0,False,0,1,0.062366671773898874,0.5217162952137376,0.9810659186535764,0.46475199476705126,0.7103039146935072,0.9558558346199629,4.0,19-20,0,0
2023,1,1,19-2041,"Environmental Scientists and Specialists, Including Health",80730.0,86710.0,41.69,7000098300.0,11.370324496371206,11.298865532389062,22.669190028760266,0,False,0,1,0.062366671773898874,0.5217162952137376,0.9810659186535764,0.46475199476705126,0.7103039146935072,0.9558558346199629,4.0,19-20,0,0
2024,2,1,19-2041,"Environmental Scientists and Specialists, Including Health",84930.0,88640.0,42.62,7528195200.0,11.392338501981111,11.349582666774054,22.74192116875517,0,False,0,1,0.062366671773898874,0.5217162952137376,0.9810659186535764,0.46475199476705126,0.7103039146935072,0.9558558346199629,4.0,19-20,0,0
2019,-3,0,19-2042,"Geoscientists, Except Hydrologists and Geographers",29200.0,108350.0,52.09,3163820000.0,11.593122006964505,10.281923988256374,21.87504599522088,0,False,0,1,0.1111111111111111,0.4666666666666667,0.8222222222222223,0.2888888888888889,0.4777777777777778,0.6666666666666667,1.0,19-20,0,0
2020,-2,0,19-2042,"Geoscientists, Except Hydrologists and Geographers",27890.0,112110.0,53.9,3126747900.0,11.62723581114764,10.236023480621537,21.863259291769175,0,False,0,1,0.1111111111111111,0.4666666666666667,0.8222222222222223,0.2888888888888889,0.4777777777777778,0.6666666666666667,1.0,19-20,0,0
2021,-1,0,19-2042,"Geoscientists, Except Hydrologists and Geographers",23620.0,103550.0,49.78,2445851000.0,11.54780986682373,10.069849089751353,21.617658956575085,0,False,0,1,0.1111111111111111,0.4666666666666667,0.8222222222222223,0.2888888888888889,0.4777777777777778,0.6666666666666667,1.0,19-20,0,0
2022,0,0,19-2042,"Geoscientists, Except Hydrologists and Geographers",25230.0,104560.0,50.27,2638048800.0,11.557516348298105,10.135789041635103,21.693305389933208,0,False,0,1,0.1111111111111111,0.4666666666666667,0.8222222222222223,0.2888888888888889,0.4777777777777778,0.6666666666666667,1.0,19-20,0,0
2023,1,1,19-2042,"Geoscientists, Except Hydrologists and Geographers",24620.0,104000.0,50.0,2560480000.0,11.55214617812351,10.111314399738443,21.66346057786195,0,False,0,1,0.1111111111111111,0.4666666666666667,0.8222222222222223,0.2888888888888889,0.4777777777777778,0.6666666666666667,1.0,19-20,0,0
2024,2,1,19-2042,"Geoscientists, Except Hydrologists and Geographers",22510.0,111310.0,53.52,2505588100.0,11.62007438048727,10.021714933900778,21.64178931438805,0,False,0,1,0.1111111111111111,0.4666666666666667,0.8222222222222223,0.2888888888888889,0.4777777777777778,0.6666666666666667,1.0,19-20,0,0
2019,-3,0,19-2043,Hydrologists,6440.0,86330.0,41.5,555965200.0,11.365932441229567,8.770283819098399,20.136216260327966,0,False,0,1,0.125,0.5,0.875,0.2916666666666666,0.53125,0.7708333333333333,1.0,19-20,0,0
2020,-2,0,19-2043,Hydrologists,6170.0,90150.0,43.34,556225500.0,11.409230228631465,8.727454116899434,20.136684345530895,0,False,0,1,0.125,0.5,0.875,0.2916666666666666,0.53125,0.7708333333333333,1.0,19-20,0,0
2021,-1,0,19-2043,Hydrologists,6390.0,94780.0,45.57,605644200.0,11.45931369552158,8.762489547371581,20.22180324289316,0,False,0,1,0.125,0.5,0.875,0.2916666666666666,0.53125,0.7708333333333333,1.0,19-20,0,0
2022,0,0,19-2043,Hydrologists,6270.0,96300.0,46.3,603801000.0,11.475223597786217,8.743531633626967,20.218755231413184,0,False,0,1,0.125,0.5,0.875,0.2916666666666666,0.53125,0.7708333333333333,1.0,19-20,0,0
2023,1,1,19-2043,Hydrologists,6150.0,96410.0,46.35,592921500.0,11.476365209658423,8.724207360800564,20.20057257045899,0,False,0,1,0.125,0.5,0.875,0.2916666666666666,0.53125,0.7708333333333333,1.0,19-20,0,0
2024,2,1,19-2043,Hydrologists,5720.0,98130.0,47.18,561303600.0,11.49404840920054,8.651724084373843,20.145772493574384,0,False,0,1,0.125,0.5,0.875,0.2916666666666666,0.53125,0.7708333333333333,1.0,19-20,0,0
2019,-3,0,19-2099,"Physical Scientists, All Other",17550.0,112070.0,53.88,1966828500.0,11.626878955046074,9.772809228894012,21.39968818394009,0,False,0,1,0.0,0.4565217391304347,0.9130434782608696,0.1521739130434782,0.4456521739130434,0.7391304347826086,1.0,19-20,0,0
2020,-2,0,19-2099,"Physical Scientists, All Other",19050.0,110100.0,52.93,2097405000.0,11.60914432271077,9.854822380554848,21.46396670326562,0,False,0,1,0.0,0.4565217391304347,0.9130434782608696,0.1521739130434782,0.4456521739130434,0.7391304347826086,1.0,19-20,0,0
2021,-1,0,19-2099,"Physical Scientists, All Other",19680.0,113220.0,54.43,2228169600.0,11.637088107590651,9.887358170606245,21.524446278196898,0,False,0,1,0.0,0.4565217391304347,0.9130434782608696,0.1521739130434782,0.4456521739130434,0.7391304347826086,1.0,19-20,0,0
2022,0,0,19-2099,"Physical Scientists, All Other",19820.0,116230.0,55.88,2303678600.0,11.663326265637751,9.89444680788398,21.557773073521737,0,False,0,1,0.0,0.4565217391304347,0.9130434782608696,0.1521739130434782,0.4456521739130434,0.7391304347826086,1.0,19-20,0,0
2023,1,1,19-2099,"Physical Scientists, All Other",20820.0,119050.0,57.24,2478621000.0,11.687298851915008,9.94366934216896,21.63096819408397,0,False,0,1,0.0,0.4565217391304347,0.9130434782608696,0.1521739130434782,0.4456521739130434,0.7391304347826086,1.0,19-20,0,0
2024,2,1,19-2099,"Physical Scientists, All Other",22580.0,123070.0,59.17,2778920600.0,11.720508578166385,10.024819837703651,21.74532841587003,0,False,0,1,0.0,0.4565217391304347,0.9130434782608696,0.1521739130434782,0.4456521739130434,0.7391304347826086,1.0,19-20,0,0
2019,-3,0,19-3011,Economists,19000.0,116630.0,56.07,2215970000.0,11.666761809685095,9.852194258148575,21.51895606783367,0,False,0,1,0.1052631578947368,0.5526315789473684,1.0,0.4429824561403508,0.6173245614035088,0.7916666666666666,2.0,19-30,0,0
2020,-2,0,19-3011,Economists,17520.0,120880.0,58.11,2117817600.0,11.702553596946622,9.771098364490385,21.473651961437003,0,False,0,1,0.1052631578947368,0.5526315789473684,1.0,0.4429824561403508,0.6173245614035088,0.7916666666666666,2.0,19-30,0,0
2021,-1,0,19-3011,Economists,15640.0,120830.0,58.09,1889781200.0,11.702139878021354,9.657587014099304,21.359726892120655,0,False,0,1,0.1052631578947368,0.5526315789473684,1.0,0.4429824561403508,0.6173245614035088,0.7916666666666666,2.0,19-30,0,0
2022,0,0,19-3011,Economists,16370.0,128180.0,61.63,2098306600.0,11.761190805058218,9.70320567036518,21.4643964754234,0,False,0,1,0.1052631578947368,0.5526315789473684,1.0,0.4429824561403508,0.6173245614035088,0.7916666666666666,2.0,19-30,0,0
2023,1,1,19-3011,Economists,16420.0,132650.0,63.78,2178113000.0,11.795469359565883,9.70625538300642,21.501724742572303,0,False,0,1,0.1052631578947368,0.5526315789473684,1.0,0.4429824561403508,0.6173245614035088,0.7916666666666666,2.0,19-30,0,0
2024,2,1,19-3011,Economists,15880.0,130910.0,62.94,2078850800.0,11.782265343174144,9.672815734801128,21.455081077975272,0,False,0,1,0.1052631578947368,0.5526315789473684,1.0,0.4429824561403508,0.6173245614035088,0.7916666666666666,2.0,19-30,0,0
2019,-3,0,19-3022,Survey Researchers,9930.0,65760.0,31.61,652996800.0,11.093767029730062,9.20331575703922,20.29708278676928,0,False,0,1,0.25,0.625,1.0,0.75,0.84375,0.9375,1.0,19-30,0,0
2020,-2,0,19-3022,Survey Researchers,10350.0,66960.0,32.19,693036000.0,11.111850705163356,9.244741798693514,20.356592503856874,0,False,0,1,0.25,0.625,1.0,0.75,0.84375,0.9375,1.0,19-30,0,0
2021,-1,0,19-3022,Survey Researchers,8850.0,64690.0,31.1,572506500.0,11.07736190903803,9.088172738001974,20.165534647040005,0,False,0,1,0.25,0.625,1.0,0.75,0.84375,0.9375,1.0,19-30,0,0
2022,0,0,19-3022,Survey Researchers,7880.0,66440.0,31.94,523547200.0,11.104054563727232,8.972083182851925,20.076137746579157,0,False,0,1,0.25,0.625,1.0,0.75,0.84375,0.9375,1.0,19-30,0,0
2023,1,1,19-3022,Survey Researchers,8190.0,66670.0,32.05,546027300.0,11.107510355612106,9.010669176847117,20.11817953245922,0,False,0,1,0.25,0.625,1.0,0.75,0.84375,0.9375,1.0,19-30,0,0
2024,2,1,19-3022,Survey Researchers,7720.0,73470.0,35.32,567188400.0,11.204632438614324,8.951569643018821,20.156202081633143,0,False,0,1,0.25,0.625,1.0,0.75,0.84375,0.9375,1.0,19-30,0,0
2019,-3,0,19-3031,"Clinical, Counseling, and School Psychologists",113270.0,87450.0,42.04,9905461500.0,11.378822480446749,11.63752962819476,23.016352108641502,0,False,0,0,0.09326359551442254,0.485741841442933,0.8782200873714433,0.33816242873072383,0.5548983566123284,0.771634284493933,13.0,,1,0
2020,-2,0,19-3031,"Clinical, Counseling, and School Psychologists",111320.0,89290.0,42.93,9939762800.0,11.399644778511265,11.620164215639829,23.019808994151088,0,False,0,0,0.09326359551442254,0.485741841442933,0.8782200873714433,0.33816242873072383,0.5548983566123284,0.771634284493933,13.0,,1,0
2019,-3,0,19-3032,Industrial-Organizational Psychologists,630.0,111150.0,53.44,70024500.0,11.618635919392345,6.4457198193855785,18.06435573877792,0,False,0,1,0.0888888888888888,0.4888888888888889,0.888888888888889,0.3555555555555555,0.5888888888888889,0.8222222222222223,1.0,19-30,0,0
2020,-2,0,19-3032,Industrial-Organizational Psychologists,780.0,112690.0,54.18,87898200.0,11.632395964946395,6.659293919683638,18.29168988463003,0,False,0,1,0.0888888888888888,0.4888888888888889,0.888888888888889,0.3555555555555555,0.5888888888888889,0.8222222222222223,1.0,19-30,0,0
2021,-1,0,19-3032,Industrial-Organizational Psychologists,610.0,113320.0,54.48,69125200.0,11.637970953944452,6.413458957167357,18.05142991111181,0,False,0,1,0.0888888888888888,0.4888888888888889,0.888888888888889,0.3555555555555555,0.5888888888888889,0.8222222222222223,1.0,19-30,0,0
2022,0,0,19-3032,Industrial-Organizational Psychologists,1280.0,144610.0,69.52,185100800.0,11.881795742608835,7.154615356913663,19.0364110995225,0,False,0,1,0.0888888888888888,0.4888888888888889,0.888888888888889,0.3555555555555555,0.5888888888888889,0.8222222222222223,1.0,19-30,0,0
2023,1,1,19-3032,Industrial-Organizational Psychologists,1030.0,154380.0,74.22,159011400.0,11.947172374503843,6.937314081223682,18.88448645572753,0,False,0,1,0.0888888888888888,0.4888888888888889,0.888888888888889,0.3555555555555555,0.5888888888888889,0.8222222222222223,1.0,19-30,0,0
2024,2,1,19-3032,Industrial-Organizational Psychologists,1050.0,134400.0,64.62,141120000.0,11.808575707071189,6.956545443151569,18.76512115022275,0,False,0,1,0.0888888888888888,0.4888888888888889,0.888888888888889,0.3555555555555555,0.5888888888888889,0.8222222222222223,1.0,19-30,0,0
2021,-1,0,19-3033,Clinical and Counseling Psychologists,58100.0,99640.0,47.9,5789084000.0,11.509318969376118,10.969920942840002,22.47923991221612,0,False,0,0,0.0925925925925925,0.3703703703703703,0.6481481481481481,0.3333333333333333,0.5092592592592592,0.6851851851851851,1.0,19-30,0,0
2022,0,0,19-3033,Clinical and Counseling Psychologists,62880.0,102740.0,49.4,6460291200.0,11.53995680402126,11.048983427103089,22.588940231124347,0,False,0,0,0.0925925925925925,0.3703703703703703,0.6481481481481481,0.3333333333333333,0.5092592592592592,0.6851851851851851,1.0,19-30,0,0
2023,1,1,19-3033,Clinical and Counseling Psychologists,71730.0,106600.0,51.25,7646418000.0,11.57683879071388,11.18066434912048,22.757503139834363,0,False,0,0,0.0925925925925925,0.3703703703703703,0.6481481481481481,0.3333333333333333,0.5092592592592592,0.6851851851851851,1.0,19-30,0,0
2024,2,1,19-3033,Clinical and Counseling Psychologists,72190.0,106850.0,51.37,7713501500.0,11.579181260747294,11.187056811133209,22.7662380718805,0,False,0,0,0.0925925925925925,0.3703703703703703,0.6481481481481481,0.3333333333333333,0.5092592592592592,0.6851851851851851,1.0,19-30,0,0
2021,-1,0,19-3034,School Psychologists,57110.0,82770.0,39.8,4726994700.0,11.32382095587944,10.952734511658909,22.27655546753835,0,False,0,0,0.0,0.3918918918918919,0.7837837837837838,0.3243243243243243,0.5810810810810811,0.8378378378378379,1.0,19-30,0,0
2022,0,0,19-3034,School Psychologists,60250.0,87550.0,42.09,5274887500.0,11.379965337713998,11.0062578513529,22.3862231890669,0,False,0,0,0.0,0.3918918918918919,0.7837837837837838,0.3243243243243243,0.5810810810810811,0.8378378378378379,1.0,19-30,0,0
2023,1,1,19-3034,School Psychologists,62790.0,91990.0,44.22,5776052100.0,11.429435154471204,11.047551104108155,22.47698625857936,0,False,0,0,0.0,0.3918918918918919,0.7837837837837838,0.3243243243243243,0.5810810810810811,0.8378378378378379,1.0,19-30,0,0
2024,2,1,19-3034,School Psychologists,63830.0,93610.0,45.01,5975126300.0,11.446892494365793,11.063978578250104,22.510871072615892,0,False,0,0,0.0,0.3918918918918919,0.7837837837837838,0.3243243243243243,0.5810810810810811,0.8378378378378379,1.0,19-30,0,0
2019,-3,0,19-3039,"Psychologists, All Other",14220.0,98230.0,47.23,1396830600.0,11.495066946668915,9.562404703357233,21.057471650026148,0,False,0,1,0.06349206349206345,0.4543650793650793,0.8452380952380951,0.2182539682539682,0.28174603174603174,0.34523809523809523,2.0,19-30,0,0
2020,-2,0,19-3039,"Psychologists, All Other",14960.0,100130.0,48.14,1497944800.0,11.514224620701848,9.613135251528467,21.12735987223032,0,False,0,1,0.06349206349206345,0.4543650793650793,0.8452380952380951,0.2182539682539682,0.28174603174603174,0.34523809523809523,2.0,19-30,0,0
2021,-1,0,19-3039,"Psychologists, All Other",13800.0,98010.0,47.12,1352538000.0,11.492824793263226,9.532423871145296,21.02524866440852,0,False,0,1,0.06349206349206345,0.4543650793650793,0.8452380952380951,0.2182539682539682,0.28174603174603174,0.34523809523809523,2.0,19-30,0,0
2022,0,0,19-3039,"Psychologists, All Other",13900.0,99560.0,47.87,1383884000.0,11.508515756481527,9.539644119118783,21.048159875600312,0,False,0,1,0.06349206349206345,0.4543650793650793,0.8452380952380951,0.2182539682539682,0.28174603174603174,0.34523809523809523,2.0,19-30,0,0
2023,1,1,19-3039,"Psychologists, All Other",14480.0,110300.0,53.03,1597144000.0,11.610959205241594,9.580523665939708,21.1914828711813,0,False,0,1,0.06349206349206345,0.4543650793650793,0.8452380952380951,0.2182539682539682,0.28174603174603174,0.34523809523809523,2.0,19-30,0,0
2024,2,1,19-3039,"Psychologists, All Other",17790.0,111340.0,53.53,1980738600.0,11.6203438617375,9.786391780659882,21.40673564239738,0,False,0,1,0.06349206349206345,0.4543650793650793,0.8452380952380951,0.2182539682539682,0.28174603174603174,0.34523809523809523,2.0,19-30,0,0
2019,-3,0,19-3041,Sociologists,2630.0,90590.0,43.55,238251700.0,11.414099110663331,7.874739125171811,19.288838235835144,0,False,0,1,0.1538461538461538,0.5384615384615385,0.9230769230769232,0.3846153846153846,0.6153846153846154,0.8461538461538463,1.0,19-30,0,0
2020,-2,0,19-3041,Sociologists,2470.0,93420.0,44.91,230747400.0,11.4448607340561,7.8119734296220225,19.25683416367812,0,False,0,1,0.1538461538461538,0.5384615384615385,0.9230769230769232,0.3846153846153846,0.6153846153846154,0.8461538461538463,1.0,19-30,0,0
2021,-1,0,19-3041,Sociologists,2640.0,96260.0,46.28,254126400.0,11.4748081428571,7.878534196140362,19.35334233899746,0,False,0,1,0.1538461538461538,0.5384615384615385,0.9230769230769232,0.3846153846153846,0.6153846153846154,0.8461538461538463,1.0,19-30,0,0
2022,0,0,19-3041,Sociologists,2980.0,101310.0,48.71,301903800.0,11.525940402047723,7.999678579499451,19.525618981547172,0,False,0,1,0.1538461538461538,0.5384615384615385,0.9230769230769232,0.3846153846153846,0.6153846153846154,0.8461538461538463,1.0,19-30,0,0
2023,1,1,19-3041,Sociologists,2890.0,106710.0,51.31,308391900.0,11.577870153610611,7.969011781106478,19.54688193471709,0,False,0,1,0.1538461538461538,0.5384615384615385,0.9230769230769232,0.3846153846153846,0.6153846153846154,0.8461538461538463,1.0,19-30,0,0
2024,2,1,19-3041,Sociologists,2950.0,111670.0,53.69,329426500.0,11.623303372439835,7.989560449333865,19.612863821773704,0,False,0,1,0.1538461538461538,0.5384615384615385,0.9230769230769232,0.3846153846153846,0.6153846153846154,0.8461538461538463,1.0,19-30,0,0
2019,-3,0,19-3051,Urban and Regional Planners,38560.0,77750.0,37.38,2998040000.0,11.26125383004148,10.55997074872448,21.821224578765964,0,False,0,1,0.0,0.4772727272727273,0.9545454545454546,0.2727272727272727,0.5795454545454546,0.8863636363636364,1.0,19-30,0,0
2020,-2,0,19-3051,Urban and Regional Planners,38190.0,79410.0,38.18,3032667900.0,11.282379583889256,10.550328980219565,21.832708564108817,0,False,0,1,0.0,0.4772727272727273,0.9545454545454546,0.2727272727272727,0.5795454545454546,0.8863636363636364,1.0,19-30,0,0
2021,-1,0,19-3051,Urban and Regional Planners,38940.0,81310.0,39.09,3166211400.0,11.306024289201885,10.56977727892619,21.875801568128075,0,False,0,1,0.0,0.4772727272727273,0.9545454545454546,0.2727272727272727,0.5795454545454546,0.8863636363636364,1.0,19-30,0,0
2022,0,0,19-3051,Urban and Regional Planners,39880.0,82420.0,39.63,3286909600.0,11.319583404892809,10.593630224075774,21.913213628968585,0,False,0,1,0.0,0.4772727272727273,0.9545454545454546,0.2727272727272727,0.5795454545454546,0.8863636363636364,1.0,19-30,0,0
2023,1,1,19-3051,Urban and Regional Planners,42690.0,85940.0,41.32,3668778600.0,11.361404657328986,10.661719979752007,22.023124637080993,0,False,0,1,0.0,0.4772727272727273,0.9545454545454546,0.2727272727272727,0.5795454545454546,0.8863636363636364,1.0,19-30,0,0
2024,2,1,19-3051,Urban and Regional Planners,43040.0,89730.0,43.14,3861979200.0,11.404560440292103,10.669885194835668,22.07444563512777,0,False,0,1,0.0,0.4772727272727273,0.9545454545454546,0.2727272727272727,0.5795454545454546,0.8863636363636364,1.0,19-30,0,0
2019,-3,0,19-3091,Anthropologists and Archeologists,6720.0,66810.0,32.12,448963200.0,11.109608048919522,8.812843433517195,19.922451482436717,0,False,0,1,0.0517241379310344,0.4396551724137931,0.8275862068965517,0.293103448275862,0.5172413793103449,0.7413793103448276,1.0,19-30,0,0
2020,-2,0,19-3091,Anthropologists and Archeologists,7180.0,69960.0,33.64,502312800.0,11.155678929132538,8.87905466204227,20.03473359117481,0,False,0,1,0.0517241379310344,0.4396551724137931,0.8275862068965517,0.293103448275862,0.5172413793103449,0.7413793103448276,1.0,19-30,0,0
